DATE,PCU32733132733106
1981-06-01,100.0
1981-07-01,.
1981-08-01,.
1981-09-01,.
1981-10-01,.
1981-11-01,.
1981-12-01,.
1982-01-01,.
1982-02-01,.
1982-03-01,.
1982-04-01,.
1982-05-01,.
1982-06-01,.
1982-07-01,103.5
1982-08-01,103.5
1982-09-01,104.4
1982-10-01,104.4
1982-11-01,104.4
1982-12-01,104.4
1983-01-01,106.3
1983-02-01,106.3
1983-03-01,106.3
1983-04-01,106.3
1983-05-01,106.3
1983-06-01,106.3
1983-07-01,106.3
1983-08-01,106.3
1983-09-01,106.3
1983-10-01,106.3
1983-11-01,106.3
1983-12-01,106.3
1984-01-01,107.3
1984-02-01,107.0
1984-03-01,107.0
1984-04-01,107.0
1984-05-01,102.0
1984-06-01,104.6
1984-07-01,105.4
1984-08-01,105.4
1984-09-01,105.4
1984-10-01,105.4
1984-11-01,105.4
1984-12-01,105.4
1985-01-01,107.3
1985-02-01,107.3
1985-03-01,107.3
1985-04-01,108.7
1985-05-01,108.7
1985-06-01,108.7
1985-07-01,108.7
1985-08-01,108.7
1985-09-01,108.7
1985-10-01,108.7
1985-11-01,108.7
1985-12-01,109.3
1986-01-01,109.3
1986-02-01,109.3
1986-03-01,109.3
1986-04-01,109.3
1986-05-01,109.3
1986-06-01,109.3
1986-07-01,109.3
1986-08-01,109.3
1986-09-01,109.3
1986-10-01,109.3
1986-11-01,109.3
1986-12-01,109.3
1987-01-01,109.3
1987-02-01,109.3
1987-03-01,109.3
1987-04-01,109.3
1987-05-01,108.7
1987-06-01,108.7
1987-07-01,108.7
1987-08-01,108.7
1987-09-01,108.7
1987-10-01,108.7
1987-11-01,108.7
1987-12-01,108.7
1988-01-01,108.7
1988-02-01,108.7
1988-03-01,111.4
1988-04-01,111.4
1988-05-01,111.4
1988-06-01,111.4
1988-07-01,111.6
1988-08-01,111.0
1988-09-01,111.5
1988-10-01,111.5
1988-11-01,111.8
1988-12-01,111.8
1989-01-01,111.8
1989-02-01,113.4
1989-03-01,114.1
1989-04-01,122.2
1989-05-01,122.2
1989-06-01,122.2
1989-07-01,122.2
1989-08-01,122.2
1989-09-01,122.2
1989-10-01,122.2
1989-11-01,122.2
1989-12-01,122.2
1990-01-01,122.2
1990-02-01,122.2
1990-03-01,122.2
1990-04-01,122.2
1990-05-01,122.2
1990-06-01,122.2
1990-07-01,122.2
1990-08-01,122.2
1990-09-01,125.2
1990-10-01,125.2
1990-11-01,128.6
1990-12-01,128.6
1991-01-01,128.6
1991-02-01,129.0
1991-03-01,130.2
1991-04-01,130.9
1991-05-01,130.9
1991-06-01,130.9
1991-07-01,130.9
1991-08-01,130.9
1991-09-01,135.8
1991-10-01,133.4
1991-11-01,133.4
1991-12-01,133.4
1992-01-01,133.4
1992-02-01,133.4
1992-03-01,133.4
1992-04-01,133.4
1992-05-01,133.4
1992-06-01,133.4
1992-07-01,133.4
1992-08-01,133.4
1992-09-01,133.4
1992-10-01,133.4
1992-11-01,133.4
1992-12-01,133.4
1993-01-01,133.4
1993-02-01,133.4
1993-03-01,133.4
1993-04-01,134.8
1993-05-01,137.2
1993-06-01,137.2
1993-07-01,137.2
1993-08-01,137.2
1993-09-01,137.2
1993-10-01,137.2
1993-11-01,137.2
1993-12-01,137.2
1994-01-01,137.2
1994-02-01,137.2
1994-03-01,137.1
1994-04-01,137.1
1994-05-01,137.1
1994-06-01,140.3
1994-07-01,140.3
1994-08-01,140.3
1994-09-01,140.3
1994-10-01,140.3
1994-11-01,140.3
1994-12-01,140.3
1995-01-01,140.3
1995-02-01,140.3
1995-03-01,140.3
1995-04-01,140.3
1995-05-01,140.3
1995-06-01,141.4
1995-07-01,141.4
1995-08-01,141.4
1995-09-01,141.4
1995-10-01,141.4
1995-11-01,141.4
1995-12-01,141.4
1996-01-01,141.4
1996-02-01,141.4
1996-03-01,141.4
1996-04-01,141.4
1996-05-01,141.4
1996-06-01,141.4
1996-07-01,141.4
1996-08-01,141.4
1996-09-01,141.4
1996-10-01,141.4
1996-11-01,141.4
1996-12-01,141.4
1997-01-01,141.4
1997-02-01,141.4
1997-03-01,141.4
1997-04-01,141.4
1997-05-01,141.4
1997-06-01,141.4
1997-07-01,141.4
1997-08-01,141.5
1997-09-01,141.5
1997-10-01,141.5
1997-11-01,141.5
1997-12-01,141.5
1998-01-01,141.5
1998-02-01,141.9
1998-03-01,141.9
1998-04-01,141.9
1998-05-01,142.0
1998-06-01,142.0
1998-07-01,142.0
1998-08-01,142.0
1998-09-01,142.0
1998-10-01,142.0
1998-11-01,142.0
1998-12-01,142.0
1999-01-01,143.5
1999-02-01,144.5
1999-03-01,144.5
1999-04-01,142.9
1999-05-01,142.8
1999-06-01,143.1
1999-07-01,143.1
1999-08-01,143.1
1999-09-01,143.1
1999-10-01,143.2
1999-11-01,143.2
1999-12-01,143.2
2000-01-01,143.2
2000-02-01,143.7
2000-03-01,143.7
2000-04-01,143.7
2000-05-01,149.2
2000-06-01,144.3
2000-07-01,144.3
2000-08-01,144.3
2000-09-01,144.3
2000-10-01,144.3
2000-11-01,144.3
2000-12-01,144.2
2001-01-01,144.2
2001-02-01,144.2
2001-03-01,144.2
2001-04-01,148.0
2001-05-01,149.3
2001-06-01,149.3
2001-07-01,149.3
2001-08-01,149.3
2001-09-01,149.3
2001-10-01,149.3
2001-11-01,149.3
2001-12-01,149.3
2002-01-01,149.3
2002-02-01,149.3
2002-03-01,148.6
2002-04-01,150.1
2002-05-01,150.1
2002-06-01,150.5
2002-07-01,150.5
2002-08-01,150.5
2002-09-01,150.5
2002-10-01,150.5
2002-11-01,150.5
2002-12-01,150.5
2003-01-01,150.5
2003-02-01,152.4
2003-03-01,153.7
