DATE,CSUSHPINSA
2022-11-01,296.923
2022-12-01,294.415
2023-01-01,292.849
2023-02-01,293.468
2023-03-01,297.316
2023-04-01,301.469
2023-05-01,305.427
2023-06-01,308.307
2023-07-01,310.16200000000003
2023-08-01,311.499
